Time,AFR,Output,col02,col03,MAF,TPS,col06,col07,O2,col09,col10,col11,ECT,O2SM,col14,col15
0.02,15.8432,155,0,128,49,49,195,80,144,0,0,0,0,0,0,0
0.03,15.4303,151,0,128,50,49,195,80,137,0,0,0,0,0,0,0
0.04,15.8432,151,0,128,50,49,195,80,144,0,0,0,0,0,0,0
0.05,15.7842,151,0,128,50,50,195,80,143,0,0,0,0,0,0,0
0.06,15.4303,146,0,128,51,50,195,80,137,0,0,0,0,0,0,0
0.07,15.7842,146,0,128,51,50,195,80,143,0,0,0,0,0,0,0
0.08,15.4303,151,0,128,50,49,195,80,137,0,0,0,0,0,0,0
0.09,15.7842,155,0,128,49,49,195,80,143,0,0,0,0,0,0,0
0.1,15.4303,155,0,128,49,49,195,80,137,0,0,0,0,0,0,0
0.11,15.7842,155,0,128,49,49,195,80,143,0,0,0,0,0,0,0
0.12,15.3124,155,0,128,49,49,195,80,135,0,0,0,0,0,0,0
0.13,15.4303,155,0,128,49,48,195,80,137,0,0,0,0,0,0,0
0.14,15.7842,155,0,128,49,48,195,80,143,0,0,0,0,0,0,0
0.15,15.4303,158,0,128,48,48,195,80,137,0,0,0,0,0,0,0
0.16,15.9022,158,0,128,48,48,195,80,145,0,0,0,0,0,0,0
0.17,15.4303,155,0,128,49,48,195,80,137,0,0,0,0,0,0,0
0.18,15.7842,155,0,128,49,48,195,80,143,0,0,0,0,0,0,0
0.19,15.3713,155,0,128,49,48,195,80,136,0,0,0,0,0,0,0
0.2,15.7842,155,0,128,49,48,195,80,143,0,0,0,0,0,0,0
0.21,15.7252,155,0,128,49,48,195,80,142,0,0,0,0,0,0,0
0.22,15.3713,155,0,128,49,49,195,80,136,0,0,0,0,0,0,0
0.23,15.7252,155,0,128,49,48,195,80,142,0,0,0,0,0,0,0
0.24,15.3124,155,0,128,49,48,195,80,135,0,0,0,0,0,0,0
0.25,15.7252,151,0,128,50,49,195,80,142,0,0,0,0,0,0,0
0.26,15.3124,146,0,128,51,50,195,80,135,0,0,0,0,0,0,0
0.27,15.7252,146,0,128,51,50,195,80,142,0,0,0,0,0,0,0
0.28,15.7842,146,0,128,51,50,195,80,143,0,0,0,0,0,0,0
0.29,15.2534,151,0,128,50,50,195,80,134,0,0,0,0,0,0,0
0.3,15.6662,151,0,128,50,49,195,80,141,0,0,0,0,0,0,0
0.31,15.1354,151,0,128,50,50,195,80,132,0,0,0,0,138,0,0
0.32,15.6073,151,0,128,50,50,195,80,140,0,0,0,0,137,0,0
0.33,15.2534,151,0,128,50,49,195,80,134,0,0,0,0,138,0,0
0.34,15.6073,151,0,128,50,49,195,80,140,0,0,0,0,138,0,0
0.35,15.5483,146,0,128,51,50,195,80,139,0,0,0,0,137,0,0
0.36,15.5483,141,0,128,52,51,195,80,139,0,0,0,0,137,0,0
0.37,15.6073,146,0,128,51,51,195,80,140,0,0,0,0,137,0,0
0.38,15.1944,146,0,128,51,51,195,80,133,0,0,0,0,137,0,0
0.39,15.5483,141,0,128,52,51,195,80,139,0,0,0,0,137,0,0
0.4,15.1944,146,0,128,51,51,195,80,133,0,0,0,0,137,0,0
0.41,15.6073,141,0,128,52,51,195,80,140,0,0,0,0,137,0,0
0.42,15.1944,141,0,128,52,51,195,80,133,0,0,0,0,137,0,0
0.43,15.6073,146,0,128,51,50,195,80,140,0,0,0,0,137,0,0
0.44,15.5483,146,0,128,51,50,195,80,139,0,0,0,0,136,0,0
0.45,15.1354,146,0,128,51,51,195,80,132,0,0,0,0,137,0,0
0.46,15.5483,146,0,128,51,51,195,80,139,0,0,0,0,136,0,0
0.47,15.2534,146,0,128,51,50,195,80,134,0,0,0,0,136,0,0
0.48,15.5483,151,0,128,50,49,195,80,139,0,0,0,0,136,0,0
0.49,15.1944,151,0,128,50,49,195,80,133,0,0,0,0,136,0,0
0.5,15.6073,151,0,128,50,49,195,80,140,0,0,0,0,136,0,0
0.51,15.1354,151,0,128,50,49,195,80,132,0,0,0,0,136,0,0
0.52,15.5483,151,0,128,50,49,195,80,139,0,0,0,0,136,0,0
0.53,15.4893,155,0,128,49,49,195,80,138,0,0,0,0,136,0,0
0.54,15.2534,155,0,128,49,48,195,80,134,0,0,0,0,136,0,0
0.55,15.5483,155,0,128,49,49,195,80,139,0,0,0,0,136,0,0
0.56,15.1354,155,0,128,49,48,195,80,132,0,0,0,0,136,0,0
0.57,15.6073,155,0,128,49,48,195,80,140,0,0,0,0,136,0,0
0.58,15.1944,155,0,128,49,48,195,80,133,0,0,0,0,136,0,0
0.59,15.4303,155,0,128,49,48,195,80,137,0,0,0,0,136,0,0
0.6,15.4893,158,0,128,48,48,195,80,138,0,0,0,0,136,0,0
0.61,15.1944,158,0,128,48,48,195,80,133,0,0,0,0,136,0,0
0.62,15.6662,158,0,128,48,48,195,80,141,0,0,0,0,136,0,0
0.63,15.0764,158,0,128,48,48,195,80,131,0,0,0,0,136,0,0
0.64,15.4893,155,0,128,49,48,195,80,138,0,0,0,0,136,0,0
0.65,15.1354,155,0,128,49,48,195,80,132,0,0,0,0,136,0,0
0.66,15.5483,155,0,128,49,48,195,80,139,0,0,0,0,136,0,0
0.67,15.4893,155,0,128,49,48,195,80,138,0,0,0,0,136,0,0
0.68,15.5483,155,0,128,49,48,195,80,139,0,0,0,0,136,0,0
0.69,15.5483,151,0,128,50,49,195,80,139,0,0,0,0,136,0,0
0.7,15.1944,146,0,128,51,50,195,80,133,0,0,0,0,136,0,0
0.71,15.5483,146,0,128,51,50,195,80,139,0,0,0,0,136,0,0
0.72,15.1944,146,0,128,51,51,195,80,133,0,0,0,0,136,0,0
0.73,15.6073,146,0,128,51,51,195,80,140,0,0,0,0,136,0,0
0.74,15.1944,151,0,128,50,50,195,80,133,0,0,0,0,136,0,0
0.75,15.4303,151,0,128,50,47,195,80,137,0,0,0,0,136,0,0
0.76,15.5483,151,0,128,50,49,195,80,139,0,0,0,0,136,0,0
0.77,15.1354,155,0,128,49,48,195,80,132,0,0,0,0,136,0,0
0.78,15.6073,158,0,128,48,48,195,80,140,0,0,0,0,135,0,0
0.79,15.1944,155,0,128,49,48,195,80,133,0,0,0,0,136,0,0
0.8,15.4893,155,0,128,49,48,195,80,138,0,0,0,0,135,0,0
0.81,15.1944,155,0,128,49,49,195,80,133,0,0,0,0,135,0,0
0.82,15.5483,155,0,128,49,48,195,80,139,0,0,0,0,135,0,0
0.83,15.5483,155,0,128,49,48,195,80,139,0,0,0,0,135,0,0
0.84,15.1944,151,0,128,50,49,195,80,133,0,0,0,0,135,0,0
0.85,15.6073,151,0,128,50,50,195,80,140,0,0,0,0,135,0,0
0.86,15.1944,151,0,128,50,50,195,80,133,0,0,0,0,135,0,0
0.87,15.5483,151,0,128,50,49,195,80,139,0,0,0,0,135,0,0
0.88,15.1354,151,0,128,50,49,195,80,132,0,0,0,0,135,0,0
0.89,15.5483,151,0,128,50,49,195,80,139,0,0,0,0,135,0,0
